hi	label	model
1.49	yes	KMeans
1.57	yes	KMeans
1.6	yes	KMeans
2.77	yes	KMeans
3.34	yes	KMeans
4.17	yes	KMeans
4.31	yes	KMeans
4.65	yes	KMeans
6.1	yes	KMeans
6.39	yes	KMeans
6.98	yes	KMeans
8.31	yes	KMeans
8.61	yes	KMeans
8.79	yes	KMeans
8.98	yes	KMeans
9.19	yes	KMeans
9.37	yes	KMeans
12.1	yes	KMeans
12.6	yes	KMeans
15.5	no	KMeans
18.4	no	KMeans
18.9	no	KMeans
24.7	no	KMeans
25.3	no	KMeans
1.49	yes	MeanShift
1.57	yes	MeanShift
1.6	yes	MeanShift
2.77	yes	MeanShift
3.34	yes	MeanShift
4.17	yes	MeanShift
4.31	yes	MeanShift
4.65	yes	MeanShift
6.1	yes	MeanShift
6.39	yes	MeanShift
6.98	yes	MeanShift
8.31	yes	MeanShift
8.61	yes	MeanShift
8.79	yes	MeanShift
8.98	yes	MeanShift
9.19	yes	MeanShift
9.37	yes	MeanShift
12.1	yes	MeanShift
12.6	yes	MeanShift
15.5	no	MeanShift
18.4	no	MeanShift
18.9	no	MeanShift
24.7	no	MeanShift
25.3	no	MeanShift
1.49	yes	Birch
1.57	yes	Birch
1.6	yes	Birch
2.77	yes	Birch
3.34	yes	Birch
4.17	yes	Birch
4.31	yes	Birch
4.65	yes	Birch
6.1	yes	Birch
6.39	yes	Birch
6.98	yes	Birch
8.31	yes	Birch
8.61	yes	Birch
8.79	yes	Birch
8.98	yes	Birch
9.19	yes	Birch
9.37	yes	Birch
12.1	yes	Birch
12.6	yes	Birch
15.5	no	Birch
18.4	no	Birch
18.9	no	Birch
24.7	no	Birch
25.3	no	Birch
1.49	yes	GaussianMixture
1.57	yes	GaussianMixture
1.6	yes	GaussianMixture
2.77	yes	GaussianMixture
3.34	yes	GaussianMixture
4.17	yes	GaussianMixture
4.31	yes	GaussianMixture
4.65	yes	GaussianMixture
6.1	yes	GaussianMixture
6.39	yes	GaussianMixture
6.98	yes	GaussianMixture
8.31	yes	GaussianMixture
8.61	yes	GaussianMixture
8.79	yes	GaussianMixture
8.98	yes	GaussianMixture
9.19	yes	GaussianMixture
9.37	yes	GaussianMixture
12.1	yes	GaussianMixture
12.6	yes	GaussianMixture
15.5	no	GaussianMixture
18.4	no	GaussianMixture
18.9	no	GaussianMixture
24.7	no	GaussianMixture
25.3	no	GaussianMixture
1.49	yes	BayesianGaussianMixture
1.57	yes	BayesianGaussianMixture
1.6	yes	BayesianGaussianMixture
2.77	yes	BayesianGaussianMixture
3.34	yes	BayesianGaussianMixture
4.17	yes	BayesianGaussianMixture
4.31	yes	BayesianGaussianMixture
4.65	yes	BayesianGaussianMixture
6.1	yes	BayesianGaussianMixture
6.39	yes	BayesianGaussianMixture
6.98	yes	BayesianGaussianMixture
8.31	yes	BayesianGaussianMixture
8.61	yes	BayesianGaussianMixture
8.79	yes	BayesianGaussianMixture
8.98	yes	BayesianGaussianMixture
9.19	yes	BayesianGaussianMixture
9.37	yes	BayesianGaussianMixture
12.1	yes	BayesianGaussianMixture
12.6	yes	BayesianGaussianMixture
15.5	no	BayesianGaussianMixture
18.4	no	BayesianGaussianMixture
18.9	no	BayesianGaussianMixture
24.7	no	BayesianGaussianMixture
25.3	no	BayesianGaussianMixture
1.49	yes	AgglomerativeClustering
1.57	yes	AgglomerativeClustering
1.6	yes	AgglomerativeClustering
2.77	yes	AgglomerativeClustering
3.34	yes	AgglomerativeClustering
4.17	yes	AgglomerativeClustering
4.31	yes	AgglomerativeClustering
4.65	yes	AgglomerativeClustering
6.1	yes	AgglomerativeClustering
6.39	yes	AgglomerativeClustering
6.98	yes	AgglomerativeClustering
8.31	yes	AgglomerativeClustering
8.61	yes	AgglomerativeClustering
8.79	yes	AgglomerativeClustering
8.98	yes	AgglomerativeClustering
9.19	yes	AgglomerativeClustering
9.37	yes	AgglomerativeClustering
12.1	yes	AgglomerativeClustering
12.6	yes	AgglomerativeClustering
15.5	no	AgglomerativeClustering
18.4	no	AgglomerativeClustering
18.9	no	AgglomerativeClustering
24.7	no	AgglomerativeClustering
25.3	no	AgglomerativeClustering
1.49	yes	SpectralClustering
1.57	yes	SpectralClustering
1.6	yes	SpectralClustering
2.77	yes	SpectralClustering
3.34	yes	SpectralClustering
4.17	yes	SpectralClustering
4.31	yes	SpectralClustering
4.65	yes	SpectralClustering
6.1	yes	SpectralClustering
6.39	yes	SpectralClustering
6.98	yes	SpectralClustering
8.31	yes	SpectralClustering
8.61	yes	SpectralClustering
8.79	yes	SpectralClustering
8.98	yes	SpectralClustering
9.19	yes	SpectralClustering
9.37	yes	SpectralClustering
12.1	yes	SpectralClustering
12.6	yes	SpectralClustering
15.5	no	SpectralClustering
18.4	no	SpectralClustering
18.9	no	SpectralClustering
24.7	no	SpectralClustering
25.3	no	SpectralClustering
