functio	type	n1	n2	percent
integrase	SiPs-L	4590	6178	74.30 
terminase	SiPs-L	6121	6178	99.08 
tail- and baseplate-associated	SiPs-L	6150	6178	99.55 
portal-associated	SiPs-L	5894	6178	95.40 
lysis-associated	SiPs-L	6078	6178	98.38 
integrase	SiPs-S	4830	5628	85.82 
terminase	SiPs-S	2481	5628	44.08 
tail- and baseplate-associated	SiPs-S	4109	5628	73.01 
portal-associated	SiPs-S	1010	5628	17.95 
lysis-associated	SiPs-S	2097	5628	37.26 
integrase	SdPs-L	28339	28887	98.10 
terminase	SdPs-L	28687	28887	99.31 
tail- and baseplate-associated	SdPs-L	28799	28887	99.70 
portal-associated	SdPs-L	26594	28887	92.06 
lysis-associated	SdPs-L	28601	28887	99.01 
integrase	SdPs-S	6886	8653	79.58 
terminase	SdPs-S	3662	8653	42.32 
tail- and baseplate-associated	SdPs-S	6930	8653	80.09 
portal-associated	SdPs-S	3422	8653	39.55 
lysis-associated	SdPs-S	3816	8653	44.10 
