genus	hic1	hic2
g__Escherichia	14.694432303303918	16.281994604231013
g__Klebsiella	15.07411187806588	16.69625767344078
g__Salmonella	13.955371056741322	15.582108276939042
g__Enterobacter	13.909079777070051	15.604881528662434
g__Citrobacter	14.214450000000001	15.822464406779671
g__Pseudomonas	16.462396924708447	18.138632343584383
g__Pseudomonas_E	14.950364880952408	16.55870440476192
g__Vibrio	14.019546412556046	15.487362556053817
g__Burkholderia	15.500715789473679	17.217129061784913
g__Aeromonas	15.852873913043467	17.457109090909082
